"col_type","color","type","typicality_cat","ref_cat","anon_worker_id"
"orange_carrot","orange","carrot","typ","type","721669791166006"
"white_snowman","white","snowman","typ","type","721669791166006"
"white_swan","white","swan","typ","type","721669791166006"
"white_tomato","white","tomato","atyp","type","721669791166006"
"orange_pumpkin","orange","pumpkin","typ","type","721669791166006"
"white_egg","white","egg","typ","type","721669791166006"
"yellow_banana","yellow","banana","typ","type","721669791166006"
"green_lettuce","green","lettuce","typ","type","721669791166006"
"yellow_strawberry","yellow","strawberry","atyp","type","721669791166006"
"yellow_banana","yellow","banana","typ","type","614825603610444"
"green_carrot","green","carrot","atyp","type","614825603610444"
"red_tomato","red","tomato","typ","type","614825603610444"
"orange_pumpkin","orange","pumpkin","typ","type","614825603610444"
"red_corn","red","corn","atyp","type","614825603610444"
"yellow_snowman","yellow","snowman","atyp","type","614825603610444"
"green_broccoli","green","broccoli","typ","type","614825603610444"
"yellow_egg","yellow","egg","atyp","type","614825603610444"
"yellow_strawberry","yellow","strawberry","atyp","type","614825603610444"
"orange_carrot","orange","carrot","typ","type","198159540716180"
"yellow_egg","yellow","egg","atyp","type","198159540716180"
"yellow_strawberry","yellow","strawberry","atyp","type","198159540716180"
"white_tomato","white","tomato","atyp","type","198159540716180"
"orange_banana","orange","banana","atyp","type","198159540716180"
"white_snowman","white","snowman","typ","type","198159540716180"
"orange_lettuce","orange","lettuce","atyp","type","198159540716180"
"white_swan","white","swan","typ","type","198159540716180"
"red_corn","red","corn","atyp","type","198159540716180"
"white_pumpkin","white","pumpkin","atyp","type","198159540716180"
"green_swan","green","swan","atyp","type","222507984378961"
"yellow_banana","yellow","banana","typ","type","222507984378961"
"white_pumpkin","white","pumpkin","atyp","type","222507984378961"
"yellow_corn","yellow","corn","typ","type","222507984378961"
"orange_carrot","orange","carrot","typ","type","222507984378961"
"red_strawberry","red","strawberry","typ","type","222507984378961"
"green_broccoli","green","broccoli","typ","type","222507984378961"
"red_tomato","red","tomato","typ","type","222507984378961"
"yellow_snowman","yellow","snowman","atyp","type","222507984378961"
"white_egg","white","egg","typ","type","222507984378961"
"red_broccoli","red","broccoli","atyp","type","274189242486706"
"red_strawberry","red","strawberry","typ","type","274189242486706"
"yellow_banana","yellow","banana","typ","type","274189242486706"
"red_tomato","red","tomato","typ","type","274189242486706"
"green_lettuce","green","lettuce","typ","type","274189242486706"
"white_snowman","white","snowman","typ","type","274189242486706"
"yellow_corn","yellow","corn","typ","type","274189242486706"
"orange_carrot","orange","carrot","typ","type","274189242486706"
"white_pumpkin","white","pumpkin","atyp","type","274189242486706"
"white_swan","white","swan","typ","type","274189242486706"
"white_egg","white","egg","typ","type","274189242486706"
"yellow_strawberry","yellow","strawberry","atyp","type","621792455516358"
"yellow_egg","yellow","egg","atyp","type","621792455516358"
"yellow_banana","yellow","banana","typ","type","621792455516358"
"red_corn","red","corn","atyp","type","621792455516358"
"white_pumpkin","white","pumpkin","atyp","type","411881194934881"
"orange_lettuce","orange","lettuce","atyp","type","411881194934881"
"orange_banana","orange","banana","atyp","type","411881194934881"
"green_carrot","green","carrot","atyp","type","411881194934881"
"white_tomato","white","tomato","atyp","type","411881194934881"
"green_broccoli","green","broccoli","typ","type","411881194934881"
"yellow_corn","yellow","corn","typ","type","411881194934881"
"white_snowman","white","snowman","typ","type","411881194934881"
"white_swan","white","swan","typ","type","411881194934881"
"red_strawberry","red","strawberry","typ","type","411881194934881"
"white_egg","white","egg","typ","type","411881194934881"
"white_swan","white","swan","typ","type","362635496236038"
"green_lettuce","green","lettuce","typ","type","362635496236038"
"orange_pumpkin","orange","pumpkin","typ","type","362635496236038"
"yellow_banana","yellow","banana","typ","type","362635496236038"
"white_egg","white","egg","typ","type","362635496236038"
"white_snowman","white","snowman","typ","type","362635496236038"
"yellow_snowman","yellow","snowman","atyp","type","902781366290701"
"green_swan","green","swan","atyp","type","902781366290701"
"red_tomato","red","tomato","typ","type","902781366290701"
"orange_carrot","orange","carrot","typ","type","902781366290701"
"orange_banana","orange","banana","atyp","type","902781366290701"
"yellow_egg","yellow","egg","atyp","type","902781366290701"
"red_broccoli","red","broccoli","atyp","type","902781366290701"
"white_pumpkin","white","pumpkin","atyp","type","902781366290701"
"red_strawberry","red","strawberry","typ","type","902781366290701"
"green_lettuce","green","lettuce","typ","type","902781366290701"
"yellow_corn","yellow","corn","typ","type","902781366290701"
"yellow_egg","yellow","egg","atyp","type","372060040969729"
"yellow_banana","yellow","banana","typ","type","372060040969729"
"red_corn","red","corn","atyp","type","372060040969729"
"green_broccoli","green","broccoli","typ","type","372060040969729"
"white_snowman","white","snowman","typ","type","372060040969729"
"orange_carrot","orange","carrot","typ","type","372060040969729"
