"botresponse","comments","endTime","item","languages","refexp","startDate","startTime","timeSpent","trial_number","anon_worker_id"
"Jessica",NA,1554304779638,"images/orange_banana.png","English","orange banana","Wed Apr 03 2019 11:18:05 GMT-0400 (Eastern Daylight Time)",1554304685913,1.56208333333333,1,"046180185342965"
"Linda",NA,1554304644690,"images/orange_banana.png","english","banana","Wed Apr 03 2019 08:17:04 GMT-0700 (Pacific Daylight Time)",1554304624635,0.33425,1,"947693933298799"
"Patricia",NA,1554304644646,"images/orange_banana.png","English","banana","Wed Apr 03 2019 10:16:46 GMT-0500 (Central Daylight Time)",1554304606372,0.6379,1,"545490185271951"
"Margaret",NA,1554304634998,"images/orange_carrot.png","English","carrot","Wed Apr 03 2019 11:16:51 GMT-0400 (Eastern Daylight Time)",1554304611016,0.3997,1,"331787400593863"
"Mary",NA,1554304619033,"images/orange_banana.png","English","banana","Wed Apr 03 2019 11:16:06 GMT-0400 (Eastern Daylight Time)",1554304566607,0.873766666666667,1,"627923609383368"
"Margaret","none",1554304598083,"images/orange_banana.png","english","banana","Wed Apr 03 2019 10:15:42 GMT-0500 (Central Daylight Time)",1554304542720,0.922716666666667,1,"887574523940299"
"Mary",NA,1554304603267,"images/orange_banana.png","English","banana","Wed Apr 03 2019 10:15:55 GMT-0500 (Central Daylight Time)",1554304555169,0.801633333333333,1,"971004002139843"
"Linda","I have no further comments.",1554304624338,"images/orange_banana.png","English","Banana","Wed Apr 03 2019 10:16:26 GMT-0500 (Central Daylight Time)",1554304586438,0.631666666666667,1,"349601016611780"
"jennifer",NA,1554304600672,"images/orange_banana.png","english","banana","Wed Apr 03 2019 08:16:10 GMT-0700 (Pacific Daylight Time)",1554304570492,0.503,1,"612731954852084"
"Susan",NA,1554304599481,"images/orange_banana.png","english","banana","Wed Apr 03 2019 10:15:59 GMT-0500 (Central Daylight Time)",1554304559428,0.66755,1,"956759826284516"
"Jennifer","No comment",1554304596586,"images/orange_banana.png","English","Banana","Wed Apr 03 2019 11:15:50 GMT-0400 (Eastern Daylight Time)",1554304550774,0.763533333333333,1,"570213687945870"
"Mary",NA,1554304596172,"images/orange_banana.png","English","banana","Wed Apr 03 2019 08:16:06 GMT-0700 (Pacific Daylight Time)",1554304566661,0.49185,1,"541805211203095"
"Sarah",NA,1554304587551,"images/orange_banana.png","English","Banana","Wed Apr 03 2019 10:15:56 GMT-0500 (Central Daylight Time)",1554304556600,0.51585,1,"436062088104529"
"Mary","n/a",1554304571755,"images/orange_banana.png","English","banana","Wed Apr 03 2019 11:15:40 GMT-0400 (Eastern Daylight Time)",1554304540615,0.519,1,"536176227858767"
"Sarah",NA,1554304583319,"images/orange_banana.png","English","banana","Wed Apr 03 2019 08:15:48 GMT-0700 (Pacific Daylight Time)",1554304548093,0.5871,1,"936387504696359"
"Sarah",NA,1554304578505,"images/orange_banana.png","English","banana","Wed Apr 03 2019 11:15:56 GMT-0400 (Eastern Daylight Time)",1554304556804,0.361683333333333,1,"566061807139085"
"Jennifer","Thank you!",1554308920328,"images/yellow_banana.png","English","Banana","Wed Apr 03 2019 12:27:54 GMT-0400 (Eastern Daylight Time)",1554308874724,0.760066666666667,1,"672425170758633"
"Margaret",NA,1554308880807,"images/orange_banana.png","English and Spanish","banana","Wed Apr 03 2019 11:27:34 GMT-0500 (Central Daylight Time)",1554308854018,0.446483333333333,1,"246541687568031"
"Barbara",NA,1554304575649,"images/orange_banana.png","English","Banana","Wed Apr 03 2019 10:15:56 GMT-0500 (Central Daylight Time)",1554304556633,0.316933333333333,1,"223983750149601"
"Susan",NA,1554304568702,"images/orange_banana.png","English","Banana","Wed Apr 03 2019 11:15:46 GMT-0400 (Eastern Daylight Time)",1554304546879,0.363716666666667,1,"844527206846231"
"Sarah",NA,1554304560307,"images/orange_banana.png","English","banana","Wed Apr 03 2019 08:15:42 GMT-0700 (PDT)",1554304542771,0.292266666666667,1,"421495364347097"
"Margaret",NA,1554304781083,"images/orange_carrot.png","english, spanish","carrot","Wed Apr 03 2019 17:18:31 GMT+0200 (Central European Summer Time)",1554304711024,1.16765,1,"026183189559594"
"Patricia","none thanks",1554304488894,"images/orange_carrot.png","english","carrot","Wed Apr 03 2019 23:14:31 GMT+0800 (Philippine Standard Time)",1554304471686,0.2868,1,"859066097866859"
"Patricia",NA,1554304484978,"images/orange_carrot.png","English","carrot","Wed Apr 03 2019 10:14:19 GMT-0500 (Central Daylight Time)",1554304459787,0.41985,1,"746361658526522"
"Mary",NA,1554304478584,"images/orange_carrot.png","English","carrot","Wed Apr 03 2019 11:14:20 GMT-0400 (Eastern Daylight Time)",1554304460213,0.306183333333333,1,"485504886038531"
"Margaret",NA,1554304481386,"images/orange_carrot.png","English","carrot","Wed Apr 03 2019 08:13:45 GMT-0700 (Pacific Daylight Time)",1554304425627,0.929316666666667,1,"470498217938418"
"Elizabeth",NA,1554304478747,"images/orange_carrot.png","English","carrot","Wed Apr 03 2019 11:13:37 GMT-0400 (Eastern Daylight Time)",1554304417837,1.01516666666667,1,"844369367978124"
"Jessica",NA,1554304455315,"images/orange_carrot.png","English","Carrot","Wed Apr 03 2019 10:13:45 GMT-0500 (Central Daylight Time)",1554304425927,0.4898,1,"998572611915757"
"Linda",NA,1554304504052,"images/orange_carrot.png","English","carrot","Wed Apr 03 2019 08:14:26 GMT-0700 (Pacific Daylight Time)",1554304466812,0.620666666666667,1,"416538591478075"
"Patricia",NA,1554304455823,"images/orange_carrot.png","English","Carrot","Wed Apr 03 2019 11:13:50 GMT-0400 (Eastern Daylight Time)",1554304430385,0.423966666666667,1,"215466932511346"
"Elizabeth","I don't have any comments.",1554304446911,"images/orange_carrot.png","Spanish","carrot","Wed Apr 03 2019 08:13:12 GMT-0700 (Pacific Daylight Time)",1554304392829,0.901366666666667,1,"303934914027676"
"JESSICA",NA,1554304488584,"images/orange_carrot.png","ARABIC","CARROT","Wed Apr 03 2019 11:14:04 GMT-0400 (Eastern Daylight Time)",1554304444314,0.737833333333333,1,"279171161974677"
"Jessica",NA,1554304434130,"images/orange_carrot.png","English","Carrot","Wed Apr 03 2019 23:13:28 GMT+0800 (Philippine Standard Time)",1554304408391,0.428983333333333,1,"859066097866859"
"Sarah",NA,1554304461949,"images/orange_carrot.png","English","carrot","Wed Apr 03 2019 08:13:59 GMT-0700 (Mountain Standard Time)",1554304439448,0.375016666666667,1,"030258115777610"
"Sarah",NA,1554304431999,"images/orange_carrot.png","English","Carrot","Wed Apr 03 2019 11:13:24 GMT-0400 (Eastern Daylight Time)",1554304404456,0.45905,1,"542796970193794"
