intended_target,condition,target_item,targetType,comp_item,compType,contrast_item,distractor_item,UtteranceCat,target_typ,comp_typ
target,ttn,orange_pumpkin,pumpkin,orange_carrot,carrot,red_tomato,yellow_egg,typeOnly,typical,typical
competitor,aap,orange_banana,banana,orange_lettuce,lettuce,yellow_banana,white_tomato,colorType,atypical,atypical
competitor,aap,yellow_strawberry,strawberry,yellow_egg,egg,red_strawberry,white_tomato,colorType,atypical,atypical
competitor,ttp,green_lettuce,lettuce,green_broccoli,broccoli,orange_lettuce,red_strawberry,typeOnly,typical,typical
target,tap,white_swan,swan,white_tomato,tomato,green_swan,orange_pumpkin,colorType,typical,atypical
target,aap,white_tomato,tomato,white_pumpkin,pumpkin,red_tomato,green_carrot,colorType,atypical,atypical
target,aan,yellow_strawberry,strawberry,yellow_egg,egg,green_swan,white_pumpkin,colorType,atypical,atypical
target,atp,yellow_strawberry,strawberry,yellow_corn,corn,red_strawberry,white_egg,colorType,atypical,typical
target,aan,green_swan,swan,green_carrot,carrot,orange_banana,white_tomato,colorType,atypical,atypical
target,ttp,yellow_banana,banana,yellow_corn,corn,orange_banana,white_pumpkin,colorType,typical,typical
target,tan,orange_pumpkin,pumpkin,orange_banana,banana,green_broccoli,yellow_corn,typeOnly,typical,atypical
target,atn,orange_lettuce,lettuce,orange_pumpkin,pumpkin,red_broccoli,white_tomato,colorType,atypical,typical
target,aan,red_broccoli,broccoli,red_corn,corn,green_carrot,yellow_egg,colorType,atypical,atypical
target,ttn,white_swan,swan,white_egg,egg,yellow_strawberry,red_broccoli,typeOnly,typical,typical
competitor,atp,red_corn,corn,red_tomato,tomato,yellow_corn,green_broccoli,typeOnly,atypical,typical
target,tan,red_strawberry,strawberry,red_broccoli,broccoli,orange_pumpkin,white_tomato,typeOnly,typical,atypical
target,tap,white_swan,swan,white_pumpkin,pumpkin,green_swan,red_corn,colorType,typical,atypical
target,aap,green_carrot,carrot,green_swan,swan,orange_carrot,yellow_strawberry,colorType,atypical,atypical
